Luxembourg,61794506556,61794506555.5051
Latvia,30221574615,30221574614.9761
"Macao SAR, China",51548871616,51548871615.7861
Saint Martin (French part),,
Morocco,1.07235E+11,107235262625.662
Monaco,,
Moldova,7985349731,7985349731.46471
Madagascar,10613473833,10613473832.7389
Maldives,2795200010,2795200010.41213
Middle East & North Africa,3.5839E+12,3583902622462.7
Mexico,1.26183E+12,1261832901816.47
Marshall Islands,190180248.3,190180248.293377
Middle income,2.63883E+13,26388305129319
"Macedonia, FYR",10817712139,10817712138.9451
Mali,13245777670,13245777669.8243
Malta,9642848650,9642848650.1181
Myanmar,58652652371,58652652370.6565
Middle East & North Africa (excluding high income),1.65859E+12,1658590416841.12
Montenegro,4464497584,4464497583.51479
Mongolia,12582122604,12582122604.1768
Northern Mariana Islands,,
Mozambique,16018848991,16018848990.669
Mauritania,5645739652,5645739651.53638
Mauritius,11931866299,11931866299.2567
Malawi,5518880769,5518880768.57955
Malaysia,3.23343E+11,323342854422.546
North America,1.85062E+13,18506177196716.3
Namibia,12720433346,12720433346.0298
New Caledonia,,
Niger,7667951988,7667951987.6933
Nigeria,5.14966E+11,514966287206.505
Nicaragua,10874735111,10874735110.8237
Netherlands,8.64169E+11,864169242952.925
Norway,5.22746E+11,522746212765.957
Nepal,19271168018,19271168018.482
Nauru,,
New Zealand,1.90691E+11,190690896703.83
OECD members,4.79183E+13,47918300073277
Oman,78182574772,78182574772.4317
Other small states,4.26362E+11,426361822223.396
Pakistan,2.3115E+11,231149768633.284
Panama,44856189500,44856189500
Peru,2.02029E+11,202028936209.368
Philippines,2.71927E+11,271927428132.554
Palau,228700000,228700000
Papua New Guinea,15413163675,15413163674.9224
Poland,5.24059E+11,524059039422.894
Pre-demographic dividend,1.3831E+12,1383102760901.19
Puerto Rico,1.03135E+11,103134778000
North Korea,,
Portugal,2.26073E+11,226073492966.495
Paraguay,28965906502,28965906502.2306
Pacific island small states,8365969512,8365969512.13259
Post-demographic dividend,4.5515E+13,45515022597436.1
French Polynesia,,
Qatar,2.01885E+11,201885439560.44
Romania,1.91549E+11,191549024910.604
Russia,2.23063E+12,2230628062254.41
Rwanda,7522006198,7522006198.23208
South Asia,2.36255E+12,2362553805762.67
Saudi Arabia,7.44336E+11,744335733333.333
Sudan,66480141187,66480141187.3528
Senegal,14951667194,14951667193.5471
Singapore,3.00288E+11,300288499960.042
Solomon Islands,1059695156,1059695156.18795
Sierra Leone,4958754472,4958754472.42027
El Salvador,24350900000,24350900000
San Marino,,
Somalia,5352000000,5352000000
Serbia,45519650911,45519650911.4138
Sub-Saharan Africa (excluding high income),1.67732E+12,1677324106175.29
South Sudan,13257635695,13257635694.9153
Sub-Saharan Africa,1.67874E+12,1678735616972.07
Small states,5.04038E+11,504038252697.844
Sao Tome and Principe,305632896.2,305632896.173095
Suriname,5130909091,5130909090.90909
Slovak Republic,98028544875,98028544875.1992
Slovenia,47675792660,47675792660.2581
Sweden,5.78742E+11,578742001487.571
Swaziland,4562432041,4562432041.09745
Sint Maarten (Dutch part),,
Seychelles,1411061261,1411061260.70839
Syria,,
Turks and Caicos Islands,,
Chad,12949854263,12949854262.8127
East Asia & Pacific (IDA & IBRD countries),1.17146E+13,11714586302216.9
Europe & Central Asia (IDA & IBRD countries),4.70054E+12,4700535658585.14
Togo,4081112865,4081112865.35503
Thailand,4.19889E+11,419888628523.075
Tajikistan,8506674783,8506674782.75471
Turkmenistan,39197543860,39197543859.6491
Latin America & the Caribbean (IDA & IBRD countries),6.12208E+12,6122083370869.58
Middle East & North Africa (IDA & IBRD countries),1.64605E+12,1646052738538.63
East Timor,1319000000,1319000000
Tonga,432889959.4,432889959.433327
South Asia (IDA & IBRD),2.36255E+12,2362553805762.67
Sub-Saharan Africa (IDA & IBRD countries),1.67874E+12,1678735616972.07
Trinidad and Tobago,27257411604,27257411604.0108
Tunisia,46255554872,46255554871.6686
