state,2013,gdp2013,2008,gdp2008
IDA blend,1.17877E+12,1178772671114.23,6.27527E+11,6.27527E+11
Indonesia,9.12524E+11,912524136718.019,5.10229E+11,5.10229E+11
IDA only,9.06961E+11,906961137114.514,6.38037E+11,6.38037E+11
Isle of Man,6754330155,6754330154.76004,5827830311,5827830311
India,1.86321E+12,1863208343557.81,1.2241E+12,1.2241E+12
Not classified,,,,
Ireland,2.3826E+11,238259956626.791,2.74714E+11,2.74714E+11
Iran,5.11621E+11,511620875086.78,3.9719E+11,3.9719E+11
Iraq,2.32497E+11,232497236277.873,1.31614E+11,1.31614E+11
Iceland,15376604281,15376604281.4504,17530651670,17530651670
Israel,2.92408E+11,292408330563.864,2.1676E+11,2.1676E+11
Italy,2.13033E+12,2130330362918.37,2.39073E+12,2.39073E+12
Jamaica,14262303586,14262303586.054,13678551838,13678551838
Jordan,33593843662,33593843661.9718,21971835283,21971835283
Japan,4.90886E+12,4908862837290.47,4.84918E+12,4.84918E+12
Kazakhstan,2.43775E+11,243775211464.992,1.33442E+11,1.33442E+11
Kenya,55100780396,55100780396.387,35895153328,35895153328
Kyrgyz Republic,7335027592,7335027591.91628,5139957785,5139957785
Cambodia,15449630419,15449630418.5486,10351914093,10351914093
Kiribati,168951535,168951535.045376,135044455.6,135044455.6
Saint Kitts and Nevis,787290370.4,787290370.37037,734660333.3,734660333.3
South Korea,1.3056E+12,1305604981271.91,1.00222E+12,1.00222E+12
Kosovo,7073021774,7073021773.76527,5687488209,5687488209
Kuwait,1.74161E+11,174161495063.47,1.47396E+11,1.47396E+11
Latin America & Caribbean (excluding high income),5.21145E+12,5211445789391.12,3.85159E+12,3.85159E+12
Lao PDR,11192471435,11192471435.4424,5443915121,5443915121
Lebanon,44352418120,44352418120.4377,28829850746,28829850746
Liberia,1946500000,1946500000,850040500,850040500
Libya,65504442872,65504442871.7465,87140405361,87140405361
Saint Lucia,1334385778,1334385777.77778,1194493407,1194493407
Latin America & Caribbean,6.33608E+12,6336078162718.29,4.61793E+12,4.61793E+12
Least developed countries: UN classification,8.58216E+11,858216225342.32,6.07887E+11,6.07887E+11
Low income,3.7843E+11,378429829350.117,2.54747E+11,2.54747E+11
Liechtenstein,,,5081479840,5081479840
Sri Lanka,74294206491,74294206490.5894,40713812310,40713812310
Lower middle income,5.57235E+12,5572346377510.25,3.53176E+12,3.53176E+12
Low & middle income,2.67674E+13,26767415054634.2,1.69187E+13,1.69187E+13
Lesotho,2218102350,2218102350.05334,1630672203,1630672203
Late-demographic dividend,1.88234E+13,18823403555783.7,1.15978E+13,1.15978E+13
Lithuania,46418255975,46418255974.5088,47850551149,47850551149
Luxembourg,61794506556,61794506555.5051,55144865973,55144865973
Latvia,30221574615,30221574614.9761,35542093261,35542093261
"Macao SAR, China",51548871616,51548871615.7861,20917457388,20917457388
Saint Martin (French part),,,,
Morocco,1.07235E+11,107235262625.662,92507257784,92507257784
Monaco,,,6919241412,6919241412
Moldova,7985349731,7985349731.46471,6054806101,6054806101
Madagascar,10613473833,10613473832.7389,9413002921,9413002921
Maldives,2795200010,2795200010.41213,2117773602,2117773602
Middle East & North Africa,3.5839E+12,3583902622462.7,2.64229E+12,2.64229E+12
Mexico,1.26183E+12,1261832901816.47,1.10128E+12,1.10128E+12
Marshall Islands,190180248.3,190180248.293377,152793449.1,152793449.1
Middle income,2.63883E+13,26388305129319,1.66642E+13,1.66642E+13
"Macedonia, FYR",10817712139,10817712138.9451,9909548411,9909548411
